"","date","confirmed","death","recovered"
"1",2020-01-22,0,0,0
"2",2020-01-23,0,0,0
"3",2020-01-24,0,0,0
"4",2020-01-25,0,0,0
"5",2020-01-26,1,0,0
"6",2020-01-27,0,0,0
"7",2020-01-28,1,0,0
"8",2020-01-29,0,0,0
"9",2020-01-30,0,0,0
"10",2020-01-31,2,0,0
"11",2020-02-01,0,0,0
"12",2020-02-02,0,0,0
"13",2020-02-03,0,0,0
"14",2020-02-04,0,0,0
"15",2020-02-05,1,0,0
"16",2020-02-06,0,0,0
"17",2020-02-07,2,0,0
"18",2020-02-08,0,0,0
"19",2020-02-09,0,0,0
"20",2020-02-10,0,0,0
"21",2020-02-11,0,0,0
"22",2020-02-12,0,0,1
"23",2020-02-13,0,0,0
"24",2020-02-14,0,0,0
"25",2020-02-15,0,0,0
"26",2020-02-16,0,0,0
"27",2020-02-17,1,0,0
"28",2020-02-18,0,0,0
"29",2020-02-19,0,0,0
"30",2020-02-20,0,0,0
"31",2020-02-21,1,0,2
"32",2020-02-22,0,0,0
"33",2020-02-23,0,0,0
"34",2020-02-24,1,0,0
"35",2020-02-25,1,0,0
"36",2020-02-26,0,0,0
"37",2020-02-27,2,0,3
"38",2020-02-28,1,0,0
"39",2020-02-29,6,0,0
"40",2020-03-01,4,0,0
"41",2020-03-02,3,0,0
"42",2020-03-03,3,0,0
"43",2020-03-04,3,0,0
"44",2020-03-05,4,0,0
"45",2020-03-06,12,0,0
"46",2020-03-07,5,0,2
"47",2020-03-08,10,0,0
"48",2020-03-09,13,1,0
"49",2020-03-10,2,0,0
"50",2020-03-11,29,0,0
"51",2020-03-12,9,0,0
"52",2020-03-13,76,0,0
"53",2020-03-14,5,0,0
"54",2020-03-15,54,0,0
"55",2020-03-16,163,3,1
"56",2020-03-17,63,1,0
"57",2020-03-18,179,3,0
"58",2020-03-19,143,1,0
"59",2020-03-20,143,3,0
"60",2020-03-21,334,7,1
"61",2020-03-22,192,2,0
"62",2020-03-23,619,4,0
"63",2020-03-24,702,1,100
"64",2020-03-25,461,4,73
"65",2020-03-26,791,8,1
"66",2020-03-27,640,16,72
"67",2020-03-28,894,7,210
"68",2020-03-29,704,3,0
"69",2020-03-30,1118,16,0
"70",2020-03-31,1129,21,1126
"71",2020-04-01,1033,8,-268
"72",2020-04-02,1724,30,411
"73",2020-04-03,1153,40,440
"74",2020-04-04,541,39,402
"75",2020-04-05,2778,41,435
"76",2020-04-06,807,80,244
"77",2020-04-07,1309,36,535
"78",2020-04-08,1269,32,363
"79",2020-04-09,1513,96,1008
"80",2020-04-10,1405,54,693
"81",2020-04-11,1257,97,734
"82",2020-04-12,983,60,534
"83",2020-04-13,1381,67,635
"84",2020-04-14,1355,120,452
"85",2020-04-15,1174,107,756
"86",2020-04-16,2600,251,732
"87",2020-04-17,2005,97,847
"88",2020-04-18,1542,45,419
"89",2020-04-19,1277,164,883
"90",2020-04-20,2025,162,696
"91",2020-04-21,1744,183,645
"92",2020-04-22,2261,168,1266
"93",2020-04-23,1636,163,307
"94",2020-04-24,1620,161,388
"95",2020-04-25,1452,169,864
"96",2020-04-26,1662,116,870
"97",2020-04-27,1583,154,1385
"98",2020-04-28,1534,142,963
"99",2020-04-29,1715,172,1096
"100",2020-04-30,1592,155,1097
"101",2020-05-01,1886,227,1340
"102",2020-05-02,1583,147,1050
"103",2020-05-03,2578,111,1107
"104",2020-05-04,1453,208,1109
"105",2020-05-05,1258,187,976
"106",2020-05-06,1479,176,1178
"107",2020-05-07,1507,175,1076
"108",2020-05-08,1473,156,979
"109",2020-05-09,1244,126,1023
"110",2020-05-10,1173,168,847
"111",2020-05-11,1173,124,898
"112",2020-05-12,1155,185,1048
"113",2020-05-13,1149,125,1122
"114",2020-05-14,1213,167,927
"115",2020-05-15,1178,87,804
"116",2020-05-16,1247,121,924
"117",2020-05-17,1126,103,731
"118",2020-05-18,1079,57,688
"119",2020-05-19,1082,68,818
"120",2020-05-20,1082,122,724
"121",2020-05-21,1167,117,938
"122",2020-05-22,1205,93,877
"123",2020-05-23,1204,106,710
"124",2020-05-24,955,68,680
"125",2020-05-25,1013,121,653
"126",2020-05-26,971,98,701
"127",2020-05-27,899,123,896
"128",2020-05-28,987,106,713
"129",2020-05-29,933,81,944
"130",2020-05-30,772,96,612
"131",2020-05-31,798,215,696
"132",2020-06-01,809,30,878
"133",2020-06-02,671,72,634
"134",2020-06-03,682,103,781
"135",2020-06-04,628,138,678
"136",2020-06-05,678,61,890
"137",2020-06-06,528,72,1013
"138",2020-06-07,703,27,588
"139",2020-06-08,601,33,668
