"","date","confirmed","death","recovered"
"1",2020-01-22,548,17,28
"2",2020-01-23,95,1,2
"3",2020-01-24,277,8,6
"4",2020-01-25,486,16,3
"5",2020-01-26,669,14,10
"6",2020-01-27,802,26,9
"7",2020-01-28,2632,49,43
"8",2020-01-29,578,2,19
"9",2020-01-30,2054,38,15
"10",2020-01-31,1661,42,79
"11",2020-02-01,2089,46,61
"12",2020-02-02,4739,102,188
"13",2020-02-03,3086,64,151
"14",2020-02-04,3991,66,229
"15",2020-02-05,3733,72,272
"16",2020-02-06,3147,70,362
"17",2020-02-07,3523,85,522
"18",2020-02-08,2704,87,597
"19",2020-02-09,3015,100,623
"20",2020-02-10,2525,107,699
"21",2020-02-11,2032,100,718
"22",2020-02-12,373,5,446
"23",2020-02-13,15136,252,1135
"24",2020-02-14,6463,152,1760
"25",2020-02-15,2055,142,1321
"26",2020-02-16,2100,103,1457
"27",2020-02-17,1921,98,1707
"28",2020-02-18,1777,139,1744
"29",2020-02-19,408,113,1756
"30",2020-02-20,458,122,2052
"31",2020-02-21,473,0,690
"32",2020-02-22,1451,205,3995
"33",2020-02-23,21,2,488
"34",2020-02-24,219,150,1828
"35",2020-02-25,513,70,2661
"36",2020-02-26,412,52,2408
"37",2020-02-27,434,29,2846
"38",2020-02-28,328,44,3399
"39",2020-02-29,428,47,2991
"40",2020-03-01,576,35,2842
"41",2020-03-02,204,42,2692
"42",2020-03-03,125,33,2596
"43",2020-03-04,125,36,2551
"44",2020-03-05,151,32,2291
"45",2020-03-06,153,29,1652
"46",2020-03-07,80,28,1595
"47",2020-03-08,53,28,1849
"48",2020-03-09,37,23,1416
"49",2020-03-10,27,16,1377
"50",2020-03-11,34,22,1463
"51",2020-03-12,11,11,1257
"52",2020-03-13,13,8,1295
"53",2020-03-14,32,13,1464
"54",2020-03-15,26,10,1357
"55",2020-03-16,30,14,893
"56",2020-03-17,25,13,888
"57",2020-03-18,44,11,957
"58",2020-03-19,54,8,780
"59",2020-03-20,94,4,731
"60",2020-03-21,55,6,591
"61",2020-03-22,130,15,505
"62",2020-03-23,63,0,452
"63",2020-03-24,93,7,466
"64",2020-03-25,70,4,493
"65",2020-03-26,121,6,408
"66",2020-03-27,115,5,539
"67",2020-03-28,102,3,380
"68",2020-03-29,123,5,482
"69",2020-03-30,76,4,341
"70",2020-03-31,81,1,283
"71",2020-04-01,82,7,199
"72",2020-04-02,71,6,160
"73",2020-04-03,79,4,195
"74",2020-04-04,32,4,186
"75",2020-04-05,59,3,261
"76",2020-04-06,63,2,103
"77",2020-04-07,53,0,100
"78",2020-04-08,91,2,157
"79",2020-04-09,74,2,112
"80",2020-04-10,58,1,112
"81",2020-04-11,73,3,86
"82",2020-04-12,120,0,79
"83",2020-04-13,79,2,83
"84",2020-04-14,93,0,161
"85",2020-04-15,50,1,111
"86",2020-04-16,47,0,90
"87",2020-04-17,357,1290,-849
"88",2020-04-18,27,0,62
"89",2020-04-19,18,0,76
"90",2020-04-20,12,0,55
"91",2020-04-21,36,0,54
"92",2020-04-22,15,0,62
"93",2020-04-23,16,0,122
"94",2020-04-24,15,0,126
"95",2020-04-25,10,0,66
"96",2020-04-26,3,1,102
"97",2020-04-27,6,0,97
"98",2020-04-28,22,0,48
"99",2020-04-29,4,0,52
"100",2020-04-30,12,0,49
"101",2020-05-01,3,0,50
"102",2020-05-02,0,0,13
"103",2020-05-03,5,0,98
"104",2020-05-04,2,0,108
"105",2020-05-05,2,0,78
"106",2020-05-06,2,0,59
"107",2020-05-07,5,0,48
"108",2020-05-08,1,0,16
"109",2020-05-09,14,0,134
"110",2020-05-10,20,0,40
"111",2020-05-11,1,0,31
"112",2020-05-12,7,0,24
"113",2020-05-13,6,0,24
"114",2020-05-14,5,0,15
"115",2020-05-15,9,0,20
"116",2020-05-16,6,1,12
"117",2020-05-17,10,0,13
"118",2020-05-18,9,0,4
"119",2020-05-19,0,0,0
"120",2020-05-20,0,0,0
"121",2020-05-21,0,0,0
"122",2020-05-22,18,0,22
"123",2020-05-23,3,0,3
"124",2020-05-24,11,0,8
"125",2020-05-25,7,0,9
"126",2020-05-26,1,0,6
"127",2020-05-27,3,0,9
"128",2020-05-28,0,0,4
"129",2020-05-29,17,0,11
"130",2020-05-30,5,0,4
"131",2020-05-31,18,0,3
"132",2020-06-01,8,0,9
"133",2020-06-02,7,0,2
"134",2020-06-03,-1,0,4
"135",2020-06-04,11,0,11
"136",2020-06-05,6,0,5
"137",2020-06-06,9,0,4
"138",2020-06-07,5,0,10
"139",2020-06-08,4,0,10
