"","date","confirmed","death","recovered"
"1",2020-01-22,1,0,0
"2",2020-01-23,0,0,0
"3",2020-01-24,1,0,0
"4",2020-01-25,0,0,0
"5",2020-01-26,1,0,0
"6",2020-01-27,1,0,0
"7",2020-01-28,0,0,0
"8",2020-01-29,0,0,0
"9",2020-01-30,0,0,0
"10",2020-01-31,7,0,0
"11",2020-02-01,1,0,0
"12",2020-02-02,3,0,0
"13",2020-02-03,0,0,0
"14",2020-02-04,1,0,0
"15",2020-02-05,3,0,0
"16",2020-02-06,4,0,0
"17",2020-02-07,1,0,1
"18",2020-02-08,0,0,0
"19",2020-02-09,1,0,2
"20",2020-02-10,2,0,0
"21",2020-02-11,1,0,0
"22",2020-02-12,0,0,4
"23",2020-02-13,0,0,0
"24",2020-02-14,0,0,0
"25",2020-02-15,0,0,2
"26",2020-02-16,1,0,0
"27",2020-02-17,1,0,1
"28",2020-02-18,1,0,2
"29",2020-02-19,0,0,0
"30",2020-02-20,73,1,4
"31",2020-02-21,100,1,0
"32",2020-02-22,229,0,0
"33",2020-02-23,169,4,2
"34",2020-02-24,231,2,0
"35",2020-02-25,144,2,4
"36",2020-02-26,284,2,0
"37",2020-02-27,505,1,0
"38",2020-02-28,571,0,0
"39",2020-02-29,813,3,5
"40",2020-03-01,586,1,3
"41",2020-03-02,599,11,0
"42",2020-03-03,851,0,0
"43",2020-03-04,435,7,11
"44",2020-03-05,467,0,0
"45",2020-03-06,505,7,94
"46",2020-03-07,448,2,0
"47",2020-03-08,273,6,-17
"48",2020-03-09,164,3,0
"49",2020-03-10,35,1,129
"50",2020-03-11,242,6,41
"51",2020-03-12,114,6,45
"52",2020-03-13,110,0,177
"53",2020-03-14,107,6,0
"54",2020-03-15,76,3,0
"55",2020-03-16,74,0,627
"56",2020-03-17,84,6,270
"57",2020-03-18,93,3,133
"58",2020-03-19,152,7,0
"59",2020-03-20,87,3,0
"60",2020-03-21,147,8,0
"61",2020-03-22,162,9,1369
"62",2020-03-23,0,0,0
"63",2020-03-24,76,9,598
"64",2020-03-25,100,6,223
"65",2020-03-26,104,5,414
"66",2020-03-27,91,8,384
"67",2020-03-28,146,5,283
"68",2020-03-29,105,8,222
"69",2020-03-30,78,6,195
"70",2020-03-31,125,4,180
"71",2020-04-01,101,3,159
"72",2020-04-02,89,4,261
"73",2020-04-03,86,5,193
"74",2020-04-04,94,3,304
"75",2020-04-05,81,6,138
"76",2020-04-06,47,3,135
"77",2020-04-07,47,6,96
"78",2020-04-08,53,8,82
"79",2020-04-09,39,4,197
"80",2020-04-10,27,4,144
"81",2020-04-11,30,3,126
"82",2020-04-12,32,3,125
"83",2020-04-13,25,3,79
"84",2020-04-14,27,5,87
"85",2020-04-15,27,3,82
"86",2020-04-16,22,4,141
"87",2020-04-17,22,1,72
"88",2020-04-18,18,2,108
"89",2020-04-19,8,2,105
"90",2020-04-20,13,2,72
"91",2020-04-21,9,1,99
"92",2020-04-22,11,1,64
"93",2020-04-23,14,2,224
"94",2020-04-24,10,0,134
"95",2020-04-25,10,2,82
"96",2020-04-26,10,1,47
"97",2020-04-27,14,1,90
"98",2020-04-28,9,2,68
"99",2020-04-29,4,1,137
"100",2020-04-30,9,1,13
"101",2020-05-01,6,2,51
"102",2020-05-02,13,0,60
"103",2020-05-03,8,2,34
"104",2020-05-04,3,2,66
"105",2020-05-05,2,1,50
"106",2020-05-06,4,1,86
"107",2020-05-07,12,0,65
"108",2020-05-08,18,0,84
"109",2020-05-09,34,0,42
"110",2020-05-10,35,0,22
"111",2020-05-11,27,2,38
"112",2020-05-12,26,1,25
"113",2020-05-13,29,1,67
"114",2020-05-14,27,0,59
"115",2020-05-15,19,2,30
"116",2020-05-16,13,0,37
"117",2020-05-17,15,1,16
"118",2020-05-18,13,0,34
"119",2020-05-19,32,0,128
"120",2020-05-20,12,1,69
"121",2020-05-21,20,0,27
"122",2020-05-22,23,2,32
"123",2020-05-23,25,0,19
"124",2020-05-24,16,1,13
"125",2020-05-25,19,2,49
"126",2020-05-26,40,0,20
"127",2020-05-27,79,0,45
"128",2020-05-28,58,0,23
"129",2020-05-29,39,0,35
"130",2020-05-30,27,1,7
"131",2020-05-31,35,1,17
"132",2020-06-01,38,1,24
"133",2020-06-02,49,1,21
"134",2020-06-03,39,0,32
"135",2020-06-04,39,0,7
"136",2020-06-05,51,0,25
"137",2020-06-06,57,0,21
"138",2020-06-07,38,0,11
"139",2020-06-08,38,1,26
