"","date","confirmed","death","recovered"
"1",2020-01-22,0,0,0
"2",2020-01-23,0,0,0
"3",2020-01-24,0,0,0
"4",2020-01-25,0,0,0
"5",2020-01-26,0,0,0
"6",2020-01-27,0,0,0
"7",2020-01-28,0,0,0
"8",2020-01-29,0,0,0
"9",2020-01-30,0,0,0
"10",2020-01-31,2,0,0
"11",2020-02-01,0,0,0
"12",2020-02-02,0,0,0
"13",2020-02-03,0,0,0
"14",2020-02-04,0,0,0
"15",2020-02-05,0,0,0
"16",2020-02-06,0,0,0
"17",2020-02-07,1,0,0
"18",2020-02-08,0,0,0
"19",2020-02-09,0,0,0
"20",2020-02-10,5,0,0
"21",2020-02-11,0,0,0
"22",2020-02-12,1,0,1
"23",2020-02-13,0,0,0
"24",2020-02-14,0,0,0
"25",2020-02-15,0,0,0
"26",2020-02-16,0,0,7
"27",2020-02-17,0,0,0
"28",2020-02-18,0,0,0
"29",2020-02-19,0,0,0
"30",2020-02-20,0,0,0
"31",2020-02-21,0,0,0
"32",2020-02-22,0,0,0
"33",2020-02-23,0,0,0
"34",2020-02-24,4,0,0
"35",2020-02-25,0,0,0
"36",2020-02-26,0,0,0
"37",2020-02-27,2,0,0
"38",2020-02-28,5,0,0
"39",2020-02-29,3,0,0
"40",2020-03-01,13,0,0
"41",2020-03-02,4,0,0
"42",2020-03-03,11,0,0
"43",2020-03-04,35,0,0
"44",2020-03-05,30,0,0
"45",2020-03-06,48,1,0
"46",2020-03-07,43,1,10
"47",2020-03-08,67,0,0
"48",2020-03-09,48,1,0
"49",2020-03-10,62,4,1
"50",2020-03-11,75,0,0
"51",2020-03-12,0,2,0
"52",2020-03-13,343,1,0
"53",2020-03-14,342,18,0
"54",2020-03-15,1,15,0
"55",2020-03-16,406,23,2
"56",2020-03-17,409,16,32
"57",2020-03-18,682,34,14
"58",2020-03-19,74,43,0
"59",2020-03-20,1298,36,0
"60",2020-03-21,1053,56,0
"61",2020-03-22,678,35,0
"62",2020-03-23,981,74,0
"63",2020-03-24,1438,149,73
"64",2020-03-25,1476,186,0
"65",2020-03-26,2172,184,10
"66",2020-03-27,2933,284,1
"67",2020-03-28,2567,294,0
"68",2020-03-29,2468,215,0
"69",2020-03-30,2673,374,20
"70",2020-03-31,3028,383,8
"71",2020-04-01,4384,671,0
"72",2020-04-02,4308,652,13
"73",2020-04-03,4516,715,16
"74",2020-04-04,3788,761,7
"75",2020-04-05,5959,646,14
"76",2020-04-06,3843,571,58
"77",2020-04-07,3670,1038,38
"78",2020-04-08,5525,1036,20
"79",2020-04-09,4398,1104,14
"80",2020-04-10,8733,1153,229
"81",2020-04-11,5269,840,34
"82",2020-04-12,5332,686,4
"83",2020-04-13,4364,745,-322
"84",2020-04-14,5275,1048,19
"85",2020-04-15,4638,846,45
"86",2020-04-16,4662,1033,7
"87",2020-04-17,5624,936,19
"88",2020-04-18,5545,1118,20
"89",2020-04-19,5858,499,22
"90",2020-04-20,4684,565,10
"91",2020-04-21,4316,1172,192
"92",2020-04-22,4466,847,45
"93",2020-04-23,4608,729,29
"94",2020-04-24,5394,1013,12
"95",2020-04-25,4929,844,50
"96",2020-04-26,4468,420,4
"97",2020-04-27,4311,341,29
"98",2020-04-28,4002,911,6
"99",2020-04-29,4091,797,44
"100",2020-04-30,6040,676,2
"101",2020-05-01,6204,741,33
"102",2020-05-02,4815,622,4
"103",2020-05-03,4342,315,5
"104",2020-05-04,3990,289,9
"105",2020-05-05,4411,692,16
"106",2020-05-06,6116,649,8
"107",2020-05-07,5618,539,36
"108",2020-05-08,4652,627,27
"109",2020-05-09,3896,346,4
"110",2020-05-10,3924,268,1
"111",2020-05-11,3883,211,13
"112",2020-05-12,3409,628,8
"113",2020-05-13,3244,495,9
"114",2020-05-14,3455,429,11
"115",2020-05-15,3564,385,4
"116",2020-05-16,3457,468,11
"117",2020-05-17,3534,170,0
"118",2020-05-18,2714,160,32
"119",2020-05-19,2429,546,9
"120",2020-05-20,-519,364,17
"121",2020-05-21,2627,338,18
"122",2020-05-22,3298,351,8
"123",2020-05-23,2960,282,7
"124",2020-05-24,2412,118,2
"125",2020-05-25,1631,121,10
"126",2020-05-26,4052,134,0
"127",2020-05-27,2020,412,5
"128",2020-05-28,1889,377,1
"129",2020-05-29,2099,324,5
"130",2020-05-30,1612,215,15
"131",2020-05-31,1937,113,3
"132",2020-06-01,1580,556,31
"133",2020-06-02,1656,325,3
"134",2020-06-03,1878,359,-12
"135",2020-06-04,1809,176,7
"136",2020-06-05,1655,357,9
"137",2020-06-06,1560,204,2
"138",2020-06-07,1327,77,9
"139",2020-06-08,1213,55,16
