"","date","confirmed","death","recovered"
"1",2020-01-22,1,0,0
"2",2020-01-23,0,0,0
"3",2020-01-24,1,0,0
"4",2020-01-25,0,0,0
"5",2020-01-26,3,0,0
"6",2020-01-27,0,0,0
"7",2020-01-28,0,0,0
"8",2020-01-29,0,0,0
"9",2020-01-30,0,0,0
"10",2020-01-31,2,0,0
"11",2020-02-01,1,0,0
"12",2020-02-02,0,0,0
"13",2020-02-03,3,0,0
"14",2020-02-04,0,0,0
"15",2020-02-05,0,0,0
"16",2020-02-06,0,0,0
"17",2020-02-07,0,0,0
"18",2020-02-08,0,0,0
"19",2020-02-09,0,0,3
"20",2020-02-10,0,0,0
"21",2020-02-11,1,0,0
"22",2020-02-12,0,0,0
"23",2020-02-13,1,0,0
"24",2020-02-14,0,0,0
"25",2020-02-15,0,0,0
"26",2020-02-16,0,0,0
"27",2020-02-17,0,0,0
"28",2020-02-18,0,0,0
"29",2020-02-19,0,0,0
"30",2020-02-20,0,0,0
"31",2020-02-21,2,0,2
"32",2020-02-22,0,0,0
"33",2020-02-23,0,0,0
"34",2020-02-24,36,0,0
"35",2020-02-25,0,0,1
"36",2020-02-26,6,0,0
"37",2020-02-27,1,0,0
"38",2020-02-28,2,0,1
"39",2020-02-29,8,1,0
"40",2020-03-01,6,0,0
"41",2020-03-02,24,5,0
"42",2020-03-03,20,1,0
"43",2020-03-04,31,4,0
"44",2020-03-05,70,1,0
"45",2020-03-06,48,2,0
"46",2020-03-07,136,3,0
"47",2020-03-08,116,4,0
"48",2020-03-09,69,1,0
"49",2020-03-10,374,6,1
"50",2020-03-11,323,8,0
"51",2020-03-12,382,6,4
"52",2020-03-13,514,8,0
"53",2020-03-14,548,10,0
"54",2020-03-15,807,14,0
"55",2020-03-16,1125,26,5
"56",2020-03-17,1776,34,0
"57",2020-03-18,1344,31,88
"58",2020-03-19,5967,94,16
"59",2020-03-20,5526,91,26
"60",2020-03-21,6326,92,29
"61",2020-03-22,7680,145,2
"62",2020-03-23,10582,199,0
"63",2020-03-24,10063,225,170
"64",2020-03-25,11919,309,13
"65",2020-03-26,17992,406,320
"66",2020-03-27,18126,543,188
"67",2020-03-28,19824,475,203
"68",2020-03-29,19124,676,1593
"69",2020-03-30,21237,776,2979
"70",2020-03-31,26025,1171,1380
"71",2020-04-01,25430,1144,1450
"72",2020-04-02,30406,1427,527
"73",2020-04-03,31790,1322,706
"74",2020-04-04,33229,1610,4945
"75",2020-04-05,27775,1505,2796
"76",2020-04-06,29515,1519,2133
"77",2020-04-07,30804,2297,2182
"78",2020-04-08,31533,2079,1796
"79",2020-04-09,34673,2018,1851
"80",2020-04-10,33519,2069,3380
"81",2020-04-11,29930,2009,2480
"82",2020-04-12,28537,1720,1718
"83",2020-04-13,25311,1784,10494
"84",2020-04-14,27046,2392,4281
"85",2020-04-15,29004,2498,4333
"86",2020-04-16,31307,2084,2607
"87",2020-04-17,32081,2584,3842
"88",2020-04-18,32528,2347,6295
"89",2020-04-19,26219,1170,5497
"90",2020-04-20,25899,1741,1992
"91",2020-04-21,27157,2400,2875
"92",2020-04-22,28486,2326,2162
"93",2020-04-23,28819,2312,2837
"94",2020-04-24,36188,1769,18876
"95",2020-04-25,32796,2262,1293
"96",2020-04-26,27631,1126,6616
"97",2020-04-27,22412,1338,4436
"98",2020-04-28,24385,2136,4512
"99",2020-04-29,27327,2612,4784
"100",2020-04-30,29515,2029,33227
"101",2020-05-01,34037,1947,10068
"102",2020-05-02,29078,1426,11367
"103",2020-05-03,25501,1313,4770
"104",2020-05-04,22335,1240,7028
"105",2020-05-05,23976,2142,2611
"106",2020-05-06,24980,2391,119
"107",2020-05-07,27692,2207,5126
"108",2020-05-08,26906,1518,3957
"109",2020-05-09,25621,1615,13541
"110",2020-05-10,19710,731,3635
"111",2020-05-11,18621,1156,16564
"112",2020-05-12,21495,1674,-2446
"113",2020-05-13,21030,1763,13143
"114",2020-05-14,27368,1779,2984
"115",2020-05-15,25050,1632,4333
"116",2020-05-16,24996,1224,17629
"117",2020-05-17,18937,808,3889
"118",2020-05-18,21551,785,10913
"119",2020-05-19,20260,1574,6214
"120",2020-05-20,23285,1518,4920
"121",2020-05-21,25294,1263,4106
"122",2020-05-22,23790,1276,51717
"123",2020-05-23,21675,1108,11104
"124",2020-05-24,20634,633,5497
"125",2020-05-25,19056,500,12421
"126",2020-05-26,18611,693,5745
"127",2020-05-27,18263,1505,6606
"128",2020-05-28,22577,1199,8483
"129",2020-05-29,24266,1193,6455
"130",2020-05-30,24146,967,10015
"131",2020-05-31,20007,605,28297
"132",2020-06-01,20848,768,13473
"133",2020-06-02,20801,1031,5637
"134",2020-06-03,19699,981,15390
"135",2020-06-04,21140,1036,5744
"136",2020-06-05,24720,921,6704
"137",2020-06-06,22681,669,9143
"138",2020-06-07,23586,721,5518
"139",2020-06-08,17250,482,12155
